Medicine 💊 ,Start Time,End Time,Duration,Side,Type,Count,Amount (ml/cc)
,5/28/2023 6:18,5/28/2023 6:32,14, Left,Breastfeeding,,
,5/28/2023 6:50,5/28/2023 7:03,13, Right,Breastfeeding,,
,5/28/2023 9:50,5/28/2023 10:06,16, Left ,Breastfeeding,,
Tylenol ,5/28/2023 10:16,5/28/2023 10:27,11, Right,Breastfeeding,1,
,5/28/2023 14:44,5/28/2023 15:07,23, Right,Breastfeeding,,
,5/28/2023 15:10,5/28/2023 15:29,19, Left ,Breastfeeding,,
,5/28/2023 19:07,5/28/2023 19:34,27, Left,Breastfeeding,,
,5/28/2023 19:40,5/28/2023 20:00,20, Right ,Breastfeeding,,
,5/28/2023 21:43,5/28/2023 22:07,24, Right,Breastfeeding,,
,5/28/2023 22:43,5/28/2023 23:06,23, Left,Breastfeeding,,
,5/28/2023 23:47,5/29/2023 0:03,16, Right,Breastfeeding,,
Tylenol ,5/29/2023 0:29,5/29/2023 0:51,22, Left ,Breastfeeding,1,
,5/29/2023 4:39,5/29/2023 5:01,22, Right,Breastfeeding,,
,5/29/2023 5:06,5/29/2023 5:23,17,Left,Breastfeeding,,
Tylenol ,5/29/2023 10:38,5/29/2023 11:05,27, Left,Breastfeeding,2,
,5/29/2023 11:19,5/29/2023 11:34,15, Right ,Breastfeeding,,
,5/29/2023 14:47,5/29/2023 14:57,10, Right,Breastfeeding,,
Tylenol ,5/29/2023 15:01,5/29/2023 15:18,17, Left ,Breastfeeding,2,
,5/29/2023 17:40,5/29/2023 18:01,21, Right ,Breastfeeding,,
,5/29/2023 18:06,5/29/2023 18:14,8,Left,Breastfeeding,,
Tylenol ,5/29/2023 21:48,5/29/2023 22:00,12, Right ,Breastfeeding,2,
,5/29/2023 22:03,5/29/2023 22:12,9,Left,Breastfeeding,,
,5/29/2023 22:23,5/29/2023 22:28,5,Left,Breastfeeding,,
,5/29/2023 22:30,5/29/2023 22:35,5, Left ,Breastfeeding,,
,5/29/2023 23:10,5/29/2023 23:26,16, Left,Breastfeeding,,
,5/29/2023 23:53,5/30/2023 0:03,10, Right ,Breastfeeding,,
,5/30/2023 0:30,5/30/2023 0:37,7, Left,Breastfeeding,,
,5/30/2023 1:40,5/30/2023 1:50,10, Right ,Breastfeeding,,
,5/30/2023 1:52,5/30/2023 2:02,10, Left ,Breastfeeding,,
,5/30/2023 3:35,5/30/2023 3:50,15, Right,Breastfeeding,,
,5/30/2023 3:53,5/30/2023 4:11,18,Left,Breastfeeding,,
,5/30/2023 10:04,5/30/2023 10:23,19, Left,Breastfeeding,,
,5/30/2023 10:53,5/30/2023 11:07,14,Right ,Breastfeeding,,
Motrin,5/30/2023 14:37,5/30/2023 14:47,10,Right ,Breastfeeding,1,
,5/30/2023 14:53,5/30/2023 15:03,10,Left,Breastfeeding,,
,5/30/2023 17:40,5/30/2023 17:57,17,Left,Breastfeeding,,
,5/30/2023 20:00,5/30/2023 20:15,15,Right,Breastfeeding,,
,5/30/2023 23:35,5/31/2023 0:06,31,Left ,Breastfeeding,,
,5/31/2023 0:14,5/31/2023 0:26,12,Right,Breastfeeding,,
,5/31/2023 1:39,5/31/2023 1:45,6,Right,Breastfeeding,,
,5/31/2023 3:00,5/31/2023 3:11,11,Left,Breastfeeding,,
,5/31/2023 8:01,5/31/2023 8:16,15,Right ,Breastfeeding,,
,5/31/2023 8:20,5/31/2023 8:31,11,Left,Breastfeeding,,
,5/31/2023 9:00,5/31/2023 9:05,5,Left,Breastfeeding,,
,5/31/2023 12:21,5/31/2023 12:36,15,Left,Breastfeeding,,
,5/31/2023 13:00,5/31/2023 13:10,10,,Bath,,
,5/31/2023 14:22,5/31/2023 14:28,6,Right,Breastfeeding,,
,5/31/2023 14:37,5/31/2023 14:39,2,Right ,Breastfeeding,,
,5/31/2023 18:00,5/31/2023 18:31,31,Left,Breastfeeding,,
,5/31/2023 18:51,5/31/2023 18:59,8,Right ,Breastfeeding,,
,5/31/2023 20:36,5/31/2023 20:57,21,Right ,Breastfeeding,,
,5/31/2023 22:17,5/31/2023 22:32,15,Right,Breastfeeding,,
,5/31/2023 22:57,5/31/2023 23:07,10,Left ,Breastfeeding,,
,6/1/2023 1:59,6/1/2023 2:29,30,Left,Breastfeeding,,
,6/1/2023 2:28,6/1/2023 2:36,8, Right,Breastfeeding,,
,6/1/2023 3:03,6/1/2023 3:18,15, Right,Breastfeeding,,
,6/1/2023 4:00,6/1/2023 4:15,15, Left ,Breastfeeding,,
,6/1/2023 10:19,6/1/2023 10:36,17, Left ,Breastfeeding,,
,6/1/2023 10:38,6/1/2023 10:58,20, Right,Breastfeeding,,
,6/1/2023 11:50,6/1/2023 11:56,6, Right,Breastfeeding,,
,6/1/2023 12:56,6/1/2023 13:01,5,Left,Breastfeeding,,
,6/1/2023 13:12,6/1/2023 13:17,5, Left ,Breastfeeding,,
,6/1/2023 15:58,6/1/2023 16:18,20, Left,Breastfeeding,,
,6/1/2023 16:50,6/1/2023 16:55,5, Left,Breastfeeding,,
,6/1/2023 17:18,6/1/2023 17:30,12, Right ,Breastfeeding,,
,6/1/2023 19:58,6/1/2023 20:19,21,Left,Breastfeeding,,
,6/1/2023 20:28,6/1/2023 20:42,14, Right,Breastfeeding,,
,6/1/2023 21:25,6/1/2023 21:46,21, Left,Breastfeeding,,
Tylenol ,6/2/2023 12:43,6/2/2023 13:12,29, Left ,Breastfeeding,2,
,6/2/2023 4:47,6/2/2023 5:01,14, Right ,Breastfeeding,,
,6/2/2023 5:08,6/2/2023 5:23,15,Left,Breastfeeding,,
,6/2/2023 5:58,6/2/2023 6:08,10,Left,Breastfeeding,,
,6/2/2023 7:23,6/2/2023 7:33,10,Right,Breastfeeding,,
,6/2/2023 8:19,6/2/2023 8:29,10,Left,Breastfeeding,,
,6/2/2023 11:49,6/2/2023 11:59,10,Left,Breastfeeding,,
,6/2/2023 12:08,6/2/2023 12:24,16,Right,Breastfeeding,,
Motrin,6/2/2023 14:26,6/2/2023 14:36,10,Left,Breastfeeding,1,
,6/2/2023 14:38,6/2/2023 14:50,12,Right,Breastfeeding,,
,6/2/2023 17:38,6/2/2023 17:48,10,Left,Breastfeeding,,
,6/2/2023 17:53,6/2/2023 18:03,10,Right,Breastfeeding,,
,6/2/2023 19:25,6/2/2023 19:35,10,Left,Breastfeeding,,
,6/2/2023 19:41,6/2/2023 19:46,5,Right,Breastfeeding,,
,6/2/2023 20:25,6/2/2023 20:35,10,Left,Breastfeeding,,
,6/3/2023 0:31,6/3/2023 0:52,21,Left,Breastfeeding,,
,6/3/2023 0:56,6/3/2023 1:13,17,Right,Breastfeeding,,
,6/3/2023 3:04,6/3/2023 3:14,10,Left,Breastfeeding,,
,6/3/2023 3:21,6/3/2023 3:28,7,Right,Breastfeeding,,
,6/3/2023 7:40,6/3/2023 7:54,14,Left,Breastfeeding,,
,6/3/2023 7:57,6/3/2023 8:17,20,Right,Breastfeeding,,
,6/3/2023 11:20,6/3/2023 11:30,10,Left,Breastfeeding,,
,6/3/2023 11:52,6/3/2023 11:58,6,Right,Breastfeeding,,
,6/3/2023 13:26,6/3/2023 13:45,19,Right,Breastfeeding,,
,6/3/2023 15:35,6/3/2023 15:42,7,Left,Breastfeeding,,
,6/3/2023 15:52,6/3/2023 15:59,7,Right,Breastfeeding,,
,6/3/2023 16:40,6/3/2023 16:48,8,Right,Breastfeeding,,
,6/3/2023 16:54,6/3/2023 17:01,7,Right,Breastfeeding,,
,6/3/2023 17:21,6/3/2023 17:27,6,Left,Breastfeeding,,
,6/3/2023 18:05,6/3/2023 18:31,26,Right,Breastfeeding,,
,6/3/2023 18:36,6/3/2023 18:56,20,Left,Breastfeeding,,
,6/3/2023 19:45,6/3/2023 19:55,10,Right,Breastfeeding,,
,6/3/2023 20:00,6/3/2023 20:05,5,Right,Breastfeeding,,
,6/3/2023 20:15,6/3/2023 20:25,10,Left,Breastfeeding,,
,6/3/2023 22:39,6/3/2023 23:08,29,Right,Breastfeeding,,
,6/3/2023 23:16,6/3/2023 23:35,19,Left,Breastfeeding,,
,6/4/2023 1:42,6/4/2023 1:54,12,Right,Breastfeeding,,
,6/4/2023 2:00,6/4/2023 2:22,22,Left,Breastfeeding,,
,6/4/2023 2:47,6/4/2023 2:52,5,Right,Breastfeeding,,
,6/4/2023 3:38,6/4/2023 3:43,5,,Formula Feed,,60
,6/4/2023 4:35,6/4/2023 4:40,5,Right,Breastfeeding,,
,6/4/2023 6:35,6/4/2023 6:45,10,Left,Breastfeeding,,
,6/4/2023 7:05,6/4/2023 7:10,5,Right,Breastfeeding,,
,6/4/2023 10:26,6/4/2023 10:44,18,Right,Breastfeeding,,
,6/4/2023 10:54,6/4/2023 11:04,10,Left,Breastfeeding,,
,6/4/2023 12:24,6/4/2023 12:33,9,Left,Breastfeeding,,
,6/4/2023 15:50,6/4/2023 16:05,15,Left,Milk Extraction,,60
,6/4/2023 16:14,6/4/2023 16:23,9,Right,Breastfeeding,,
,6/4/2023 18:10,6/4/2023 18:20,10,,Pumped Milk Fed,,60
,6/4/2023 18:35,6/4/2023 18:45,10,Right,Breastfeeding,,
,6/4/2023 21:34,6/4/2023 21:43,9,Right,Breastfeeding,,
,6/4/2023 21:46,6/4/2023 22:01,15,Left,Milk Extraction,,50
,6/4/2023 22:09,6/4/2023 22:16,7,Right,Milk Extraction,,5
,6/4/2023 23:53,6/5/2023 0:08,15,Right,Breastfeeding,,
,6/5/2023 0:15,6/5/2023 0:30,15,Left,Milk Extraction,,30
,6/5/2023 0:40,6/5/2023 0:50,10,Right,Milk Extraction,,5
,6/5/2023 0:15,6/5/2023 0:30,15,,Pumped Milk Fed,,55
Tylenol ,6/5/2023 1:30,6/5/2023 1:40,10,,Pumped Milk Fed,2,35
,6/5/2023 2:23,6/5/2023 2:40,17,Right,Breastfeeding,,
,6/5/2023 2:53,6/5/2023 3:08,15,Left,Milk Extraction,,20
,6/5/2023 3:08,6/5/2023 3:13,5,Right,Milk Extraction,,20
,6/5/2023 2:53,6/5/2023 3:13,20,,Pumped Milk Fed,,40
,6/5/2023 6:57,6/5/2023 7:10,13,Right,Breastfeeding,,
,6/5/2023 7:15,6/5/2023 7:30,15,Left,Milk Extraction,,40
,6/5/2023 19:35,6/5/2023 20:00,25,Right,Milk Extraction,,20
,6/5/2023 7:39,6/5/2023 7:50,11,,Pumped Milk Fed,,60
,6/5/2023 11:30,6/5/2023 11:45,15,Left,Milk Extraction,,30
,6/5/2023 11:45,6/5/2023 11:50,5,Right,Milk Extraction,,10
,6/5/2023 11:58,6/5/2023 12:14,16,Right,Breastfeeding,,
,6/5/2023 14:04,6/5/2023 14:17,13,Right,Breastfeeding,,
,6/5/2023 15:00,6/5/2023 15:15,15,Left,Milk Extraction,,50
,6/5/2023 15:15,6/5/2023 15:20,5,Right,Milk Extraction,,10
,6/5/2023 16:53,6/5/2023 17:18,25,Left,Breastfeeding,,
,6/5/2023 17:34,6/5/2023 17:41,7,Right,Breastfeeding,,
,6/5/2023 17:45,6/5/2023 17:55,10,,Bath,,
,6/5/2023 18:05,6/5/2023 18:15,10,Right,Breastfeeding,,
,6/5/2023 21:37,6/5/2023 21:52,15,Left,Breastfeeding,,
,6/5/2023 21:55,6/5/2023 22:14,19,Right,Breastfeeding,,
,6/5/2023 22:40,6/5/2023 22:45,5,Right,Breastfeeding,,
,6/5/2023 22:49,6/5/2023 22:54,5,Left,Breastfeeding,,
,6/6/2023 0:20,6/6/2023 0:30,10,Right,Breastfeeding,,
,6/6/2023 0:32,6/6/2023 0:42,10,,Pumped Milk Fed,,55
,6/6/2023 2:53,6/6/2023 3:07,14,Left,Breastfeeding,,
,6/6/2023 3:12,6/6/2023 3:17,5,Right,Breastfeeding,,
,6/6/2023 3:36,6/6/2023 3:51,15,Right,Breastfeeding,,
,6/6/2023 4:20,6/6/2023 4:30,10,,Formula Feed,,50
,6/6/2023 7:41,6/6/2023 8:03,22,Left,Breastfeeding,,
,6/6/2023 8:18,6/6/2023 8:30,12,Right,Breastfeeding,,
,6/6/2023 10:00,6/6/2023 10:11,11,Right,Breastfeeding,,
Motrin,6/6/2023 12:55,6/6/2023 13:10,15,Left,Breastfeeding,1,
,6/6/2023 13:35,6/6/2023 13:50,15,Right,Milk Extraction,,60
,6/6/2023 13:50,6/6/2023 14:00,10,Left,Milk Extraction,,30
,6/6/2023 15:53,6/6/2023 16:12,19,Right,Breastfeeding,,
,6/6/2023 18:05,6/6/2023 18:15,10,Left,Breastfeeding,,
,6/6/2023 18:25,6/6/2023 18:36,11,Right,Breastfeeding,,
,6/6/2023 18:52,6/6/2023 19:18,26,Left,Breastfeeding,,
,6/6/2023 19:25,6/6/2023 19:35,10,Right,Breastfeeding,,
,6/6/2023 22:02,6/6/2023 22:18,16,Left,Breastfeeding,,
,6/6/2023 22:26,6/6/2023 22:31,5,Left,Milk Extraction,,10
,6/6/2023 22:31,6/6/2023 22:36,5,Right,Milk Extraction,,10
,6/6/2023 22:42,6/6/2023 22:50,8,Left,Breastfeeding,,
,6/6/2023 23:20,6/6/2023 23:30,10,,Pumped Milk Fed,,60
Tylenol ,6/7/2023 3:30,6/7/2023 3:45,15,Right,Breastfeeding,2,
,6/7/2023 3:50,6/7/2023 4:00,10,Left,Breastfeeding,,
,6/7/2023 4:10,6/7/2023 4:25,15,Left,Breastfeeding,,
,6/7/2023 4:43,6/7/2023 4:53,10,,Pumped Milk Fed,,15
,6/7/2023 6:45,6/7/2023 7:00,15,Right,Breastfeeding,,
,6/7/2023 7:15,6/7/2023 7:25,10,Left,Breastfeeding,,
,6/7/2023 8:36,6/7/2023 8:46,10,Left,Breastfeeding,,
Motrin,6/7/2023 10:48,6/7/2023 10:56,8,Right,Milk Extraction,1,40
,6/7/2023 10:59,6/7/2023 11:09,10,Left,Milk Extraction,,37
,6/7/2023 11:28,6/7/2023 11:38,10,,Pumped Milk Fed,,77
,6/7/2023 12:03,6/7/2023 12:13,10,Right,Breastfeeding,,
,6/7/2023 12:43,6/7/2023 13:03,20,Left,Breastfeeding,,
,6/7/2023 13:31,6/7/2023 13:36,5,Left,Breastfeeding,,
,6/7/2023 14:34,6/7/2023 14:44,10,Right,Breastfeeding,,
,6/7/2023 14:56,6/7/2023 15:06,10,Left,Milk Extraction,,
,6/7/2023 15:07,6/7/2023 15:12,5,Right,Milk Extraction,,
Anti-Biotic,6/7/2023 17:14,6/7/2023 17:23,9,Right,Breastfeeding,1,
,6/7/2023 18:35,6/7/2023 18:40,5,Left,Breastfeeding,,
,6/7/2023 19:01,6/7/2023 19:11,10,Left,Breastfeeding,,
,6/7/2023 19:35,6/7/2023 19:45,10,Right,Breastfeeding,,
Motrin,6/7/2023 20:50,6/7/2023 20:53,3,Left,Breastfeeding,1,
,6/7/2023 21:04,6/7/2023 21:09,5,Right,Breastfeeding,,
,6/7/2023 21:30,6/7/2023 21:50,20,,Formula Feed,,60
,6/7/2023 22:59,6/7/2023 23:04,5,Right,Breastfeeding,,
,6/8/2023 3:20,6/8/2023 3:34,14,Right,Breastfeeding,,
,6/8/2023 3:47,6/8/2023 3:51,4,,Pumped Milk Fed,,30
,6/8/2023 3:45,6/8/2023 4:00,15,Left,Milk Extraction,,
,6/8/2023 4:00,6/8/2023 4:05,5,Right,Milk Extraction,,
Anti-Biotic,6/8/2023 4:10,6/8/2023 4:13,3,,Pumped Milk Fed,1,30
,6/8/2023 4:41,6/8/2023 4:43,2,,Pumped Milk Fed,,30
,6/8/2023 8:34,6/8/2023 8:53,19,Right,Breastfeeding,,
,6/8/2023 9:04,6/8/2023 9:16,12,Left,Milk Extraction,,40
,6/8/2023 9:16,6/8/2023 9:21,5,Right,Milk Extraction,,10
Anti-Biotic,6/8/2023 10:34,6/8/2023 10:40,6,Right,Breastfeeding,1,
,6/8/2023 11:37,6/8/2023 11:47,10,Left,Breastfeeding,,
,6/8/2023 11:52,6/8/2023 12:12,20,Right,Breastfeeding,,
,6/8/2023 12:40,6/8/2023 12:42,2,Left,Breastfeeding,,
Vitamin D3,6/8/2023 13:00,6/8/2023 13:08,8,,Pumped Milk Fed,1,30
,6/8/2023 13:00,6/8/2023 13:12,12,Left,Milk Extraction,,20
,6/8/2023 13:12,6/8/2023 13:17,5,Right,Milk Extraction,,10
,6/8/2023 13:29,6/8/2023 13:32,3,,Pumped Milk Fed,,10
,6/8/2023 13:51,6/8/2023 13:53,2,,Pumped Milk Fed,,10
,6/8/2023 14:28,6/8/2023 14:40,12,Right,Breastfeeding,,
,6/8/2023 15:45,6/8/2023 15:55,10,Left,Milk Extraction,,20
,6/8/2023 16:00,6/8/2023 16:05,5,Right,Milk Extraction,,10
,6/8/2023 16:30,6/8/2023 16:33,3,Left,Breastfeeding,,
Anti-Biotic,6/8/2023 16:35,6/8/2023 16:55,20,Right,Breastfeeding,,
Tylenol ,6/8/2023 17:15,6/8/2023 17:30,15,Left,Breastfeeding,2,
,6/8/2023 18:55,6/8/2023 19:14,19,Right,Breastfeeding,,
,6/8/2023 19:26,6/8/2023 19:34,8,Left,Breastfeeding,,
,6/8/2023 20:28,6/8/2023 20:38,10,Right,Breastfeeding,,
,6/8/2023 21:26,6/8/2023 21:53,27,Right,Breastfeeding,,
,6/8/2023 22:31,6/8/2023 22:36,5,Right,Breastfeeding,,
,6/8/2023 22:00,6/8/2023 22:10,10,,Bath,,
,6/8/2023 23:02,6/8/2023 23:09,7,Left,Milk Extraction,,30
Anti-Biotic,6/8/2023 23:11,6/8/2023 23:14,3,Right,Milk Extraction,1,15
,6/9/2023 1:02,6/9/2023 1:12,10,Right,Breastfeeding,,
,6/9/2023 1:18,6/9/2023 1:23,5,Left,Breastfeeding,,
,6/9/2023 1:26,6/9/2023 1:46,20,Right,Breastfeeding,,
,6/9/2023 2:08,6/9/2023 2:20,12,,Pumped Milk Fed,,55
"Anti-Biotic, Motrin",6/9/2023 8:00,6/9/2023 8:09,9,Right,Breastfeeding,1,
,6/9/2023 9:30,6/9/2023 9:38,8,Left,Milk Extraction,,50
,6/9/2023 9:40,6/9/2023 9:48,8,Right,Milk Extraction,,50
,6/9/2023 11:16,6/9/2023 11:28,12,Right,Breastfeeding,,
,6/9/2023 11:55,6/9/2023 12:28,33,,Pumped Milk Fed,,60
Anti-Biotic,6/9/2023 12:36,6/9/2023 12:46,10,Right,Breastfeeding,1,
,6/9/2023 13:22,6/9/2023 13:30,8,Right,Breastfeeding,,
,6/9/2023 13:13,6/9/2023 13:21,8,Left,Milk Extraction,,30
,6/9/2023 13:52,6/9/2023 14:02,10,Right,Breastfeeding,,
Vitamin D3,6/9/2023 17:38,6/9/2023 17:49,11,Right,Breastfeeding,1,
,6/9/2023 17:54,6/9/2023 18:02,8,Right,Breastfeeding,,
Anti-Biotic,6/9/2023 18:11,6/9/2023 18:22,11,Left,Milk Extraction,1,30
,6/9/2023 18:24,6/9/2023 18:34,10,Right,Breastfeeding,,
,6/9/2023 19:09,6/9/2023 19:13,4,,Pumped Milk Fed,,30
,6/9/2023 19:39,6/9/2023 19:52,13,Right,Breastfeeding,,
,6/9/2023 21:55,6/9/2023 22:08,13,Right,Breastfeeding,,
,6/9/2023 22:11,6/9/2023 22:20,9,Right,Breastfeeding,,
,6/9/2023 22:44,6/9/2023 22:56,12,Right,Breastfeeding,,
,6/9/2023 23:00,6/9/2023 23:19,19,Right,Breastfeeding,,
,6/9/2023 23:23,6/9/2023 23:33,10,Left,Milk Extraction,,40
,6/9/2023 23:45,6/9/2023 23:48,3,,Pumped Milk Fed,,30
,6/9/2023 23:51,6/9/2023 23:54,3,,Pumped Milk Fed,,30
Anti-Biotic,6/10/2023 0:05,6/10/2023 0:10,5,,Formula Feed,1,60
,6/10/2023 0:30,6/10/2023 0:35,5,,Formula Feed,,20
,6/10/2023 4:00,6/10/2023 4:10,10,Right,Breastfeeding,,
Motrin,6/10/2023 4:15,6/10/2023 4:25,10,Right,Breastfeeding,1,
,6/10/2023 4:30,6/10/2023 4:41,11,,Pumped Milk Fed,,30
,6/10/2023 4:30,6/10/2023 4:45,15,Left,Milk Extraction,,45
,6/10/2023 4:45,6/10/2023 4:49,4,Right,Milk Extraction,,15
,6/10/2023 5:10,6/10/2023 5:20,10,,Pumped Milk Fed,,55
Anti-Biotic,6/10/2023 7:44,6/10/2023 8:00,16,Right,Breastfeeding,1,
,6/10/2023 9:36,6/10/2023 9:45,9,Right,Breastfeeding,,
,6/10/2023 9:47,6/10/2023 10:02,15,Right,Breastfeeding,,
,6/10/2023 11:22,6/10/2023 11:25,3,Left,Breastfeeding,,
Anti-Biotic,6/10/2023 11:25,6/10/2023 11:36,11,Right,Breastfeeding,1,
,6/10/2023 12:53,6/10/2023 12:56,3,Left,Breastfeeding,,
,6/10/2023 12:59,6/10/2023 13:09,10,Right,Breastfeeding,,
,6/10/2023 13:45,6/10/2023 14:00,15,Left,Milk Extraction,,40
Vitamin D3,6/10/2023 14:15,6/10/2023 14:23,8,,Pumped Milk Fed,1,65
,6/10/2023 14:40,6/10/2023 14:55,15,,Formula Feed,,30
,6/10/2023 16:00,6/10/2023 16:07,7,,Formula Feed,,30
,6/10/2023 16:38,6/10/2023 16:43,5,Right,Breastfeeding,,
,6/10/2023 16:52,6/10/2023 16:57,5,Right,Breastfeeding,,
Anti-Biotic,6/10/2023 19:18,6/10/2023 19:28,10,Right,Breastfeeding,1,
,6/10/2023 19:43,6/10/2023 19:54,11,Left,Breastfeeding,,
,6/10/2023 21:42,6/10/2023 21:58,16,Right,Breastfeeding,,
,6/10/2023 22:30,6/10/2023 22:45,15,Left,Breastfeeding,,
,6/10/2023 22:57,6/10/2023 23:14,17,Right,Breastfeeding,,
,6/10/2023 23:15,6/10/2023 23:34,19,Left,Milk Extraction,,40
,6/10/2023 23:30,6/10/2023 23:47,17,,Formula Feed,,60
,6/10/2023 23:37,6/10/2023 23:42,5,Right,Milk Extraction,,10
Anti-Biotic,6/11/2023 0:07,6/11/2023 0:12,5,,Formula Feed,1,5
Motrin,6/11/2023 4:07,6/11/2023 4:17,10,Right,Breastfeeding,1,
,6/11/2023 4:29,6/11/2023 4:39,10,Right,Breastfeeding,,
,6/11/2023 4:45,6/11/2023 5:00,15,,Formula Feed,,30
,6/11/2023 4:45,6/11/2023 5:00,15,Right,Milk Extraction,,20
,6/11/2023 6:47,6/11/2023 6:50,3,,Pumped Milk Fed,,30
Anti-Biotic,6/11/2023 9:29,6/11/2023 9:47,18,Right,Breastfeeding,1,
,6/11/2023 9:57,6/11/2023 10:05,8,Left,Breastfeeding,,
,6/11/2023 10:12,6/11/2023 10:19,7,Left,Breastfeeding,,
,6/11/2023 12:25,6/11/2023 12:39,14,Right,Breastfeeding,,
,6/11/2023 13:49,6/11/2023 13:57,8,Left,Breastfeeding,,
"Vitamin D3, Anti-Biotic",6/11/2023 14:00,6/11/2023 14:13,13,Right,Breastfeeding,1,
,6/11/2023 14:29,6/11/2023 14:40,11,,Formula Feed,,30
,6/11/2023 14:15,6/11/2023 14:32,17,Left,Milk Extraction,,20
,6/11/2023 14:30,6/11/2023 14:35,5,Right,Milk Extraction,,10
,6/11/2023 14:40,6/11/2023 14:50,10,,Pumped Milk Fed,,30
,6/11/2023 15:19,6/11/2023 15:33,14,,Formula Feed,,15
,6/11/2023 16:59,6/11/2023 17:09,10,Right,Breastfeeding,,
,6/11/2023 18:34,6/11/2023 19:03,29,Left,Breastfeeding,,
,6/11/2023 19:10,6/11/2023 19:17,7,Right,Breastfeeding,,
,6/11/2023 20:31,6/11/2023 20:41,10,Right,Breastfeeding,,
